C1;C2;C3;,0.001084,95.694444,0,0,55,6,0.000000,58060.000000,31240, ,482132, ,6.140000,0.000000,1.880000
C1;C2;C5;,0.001084,94.166667,0,0,76,7,0.000000,87578.000000,42060, ,474558, ,6.040000,0.000000,2.560000
C5;C6;C7;,0.001084,95.000000,0,0,68,4,0.000000,91428.000000,36240, ,478632, ,6.060000,0.000000,2.270000
C8;C9;C10;,0.001084,93.472222,0,0,81,13,0.000000,138377.000000,47410, ,470813, ,6.050000,0.000000,2.730000
C9;C10;C11;,0.001084,92.638889,0,0,86,19,0.000000,147326.000000,53130, ,466809, ,6.030000,0.000000,2.930000
C13;C14;C15;,0.001084,92.708333,0,0,99,6,0.000000,88840.000000,52970, ,466921, ,6.000000,0.000000,3.260000
C17;C18;C19;,0.001084,56.388889,0,0,31,597,0.000000,45164.000000,314380, ,283934, ,3.460000,0.000000,1.050000
C9;C17;C21;,0.001084,91.527778,0,0,108,13,0.000000,129383.000000,61200, ,461160, ,5.970000,0.000000,3.640000
